Asesor,Nombre de tesista,Año de publicación,Resumen,Insitución,Titulo de la tesis,Grado
"Díaz Parra, José Raúl","Rodriguez Patiño, Alex Rogelio",2022,"This work details the activities performed over my years of working experience. During this time, I have been capable of developing my technical and management abilities learned during my time as a university student. Also, I have been able to learn about new activities and processes which rely heavily on the use of different technologies to improve businesses and prevent risks. Since my first work experiences, I have been able to get involved in database administration and support from processing tools, from simple macros and spreadsheets to specialized data science and analytics software. I learned different data science techniques such as regression and classification models, anomaly detection and clustering, with the opportunity to apply models in different datasets. Through the years, I was also able to learn new topics, including financial audit, e-discovery, and forensic data analysis. A. Rodriguez • 2 I started leading and managing teams with the support of different tools in a way that I can guarantee a good working environment, which I consider is key to obtain good results without work overload. I have had the opportunity to continue learning and to obtain different certifications related to my working activities. Additionally, it is important to set a learning plan, for which I have some short- and long-term learning objectives. Finally, during my years working, I have always considered the ethics and integrity that every person must have to work in an honest way. This way I can guarantee the safety and confidentiality of the information in my reach. The information that companies possess is a considerable source of opportunities, and with the support of Data Analytics, it is possible to establish a consistent plan and develop processing data models.",Universidad de Lima,Aplicación de análisis de datos e investigación forense para la mejora continua y prevención de riesgos desde la perspectiva de auditoría externa,Ingeniero de Sistemas
"Álvarez Valdivia, Edwin Manuel","Rivera Herbozo, Alfredo Henrry",2022,"The constant delay in confirming the aircraft landing time, the lack of supply of control tower personnel for coordination purposes, as well as the insufficient adequate documentation that generates greater ease of access to air procedures, these are the continuous difficulties that the International Airport is going through. Taking into account this current problem, the general objective of this project is to inform about the air traffic of the Airport and as specific objectives to facilitate and document the work of the Flow Control area of the Airport when managing the hours landing and take-off of flights arriving from different airports in Peru. For this, the development of a web system is proposed that improves the work process carried out by the operators through the use of Cloud Computing Technology using a public cloud under the PaaS (Platform as a Service) model, because the application is on servers that facilitate the management and development of system sources and their data. For the development of this project, the Scrum framework was used, which allows managing both development and testing. Among the improvements obtained for the client, the development of three prototypes was presented that were adjusted to the reality, need and vision of the user. Although the project had a high degree of automation in the main process of the landing time request queuing, it was modified at the request of the user, which requires greater control over the editing of the requests.",Universidad de Lima,Proyecto de sistema de control de flujo de tránsito aéreo para aeropuertos,Ingeniero de Sistemas
"Zevallos Luna Victoria, Guillermo","Calero Carpio, Carlos Daniel",2022,"El egresado de la Carrera de Ingeniería de Sistemas está preparado para afrontar los desafíos y las exigencias de las organizaciones en un contexto globalizado. Con un enfoque integrador, propone, implementa, valida y gestiona soluciones innovadoras basadas en tecnologías de información, que permiten a las organizaciones satisfacer sus necesidades. (Perfil Profesional | Universidad de Lima, n.d.)
El perfil del Ingeniero de Sistemas abarca varias áreas académicas, las cuales son Diseño y Métodos de Sistemas, Ingeniería Empresarial, Ingeniería de Software, Sistemas de Información y Tecnologías de la Información. Mientras me encontraba estudiando, tenía una preferencia hacia el área de Ingeniería empresarial, ya que contenía cursos en los cuales tenía un mejor desenvolvimiento y afinidad.
A lo largo de mi desarrollo profesional, he adquirido competencias y habilidades que me han permitido desenvolverme en diversos equipos que no necesariamente están vinculados al entorno de Sistemas. Por ello, mis logros están orientadas a mejoras en procesos administrativos o cambios en las actividades operativas, los cuales rescato los siguientes:
1. Rediseño del proceso de uniformes de la organización.
2. Implementación de automatizaciones para la gestión del proceso de facturación de los proveedores.
El camino que he seguido no ha sido nada fácil, debido a los diferentes perfiles y profesionales con los que he interactuado, ya que es muy diferente trabajar en un equipo de profesionales vinculados a Ingeniería de un equipo multidisciplinario. Sin embargo, esto ha sido enriquecedor y retador como un profesional que aspira a mantenerse dentro de la rama de Ingeniería de Sistemas,
pero desarrollando habilidades de gestión.",Universidad de Lima,Logística y procesos logísticos en el sector bancario,Ingeniero de Sistemas
"Lewis Fuentes, Winston","Salazar Villafuerte, Noemi Yolanda",2022,"The current job has as objective highlight the main achievements gotten through of my professional career line in the field of the System Engineering particularly in the direction of technological projects developed under the traditional approach as well as projects oriented to the agile framework. First, it is important to mention that all technological change will generate controversies, discussions and uncertainty, due to the afraid about what could happen when these changes would be implemented, expressing resistance to them. Based on that, the role that we play is crucial because will be the best allied with the high executive level reenforcing to the rest of the areas of the company the main benefits that will generate in each collaborator, bringing an accurate support to the managers during the development of this digital transformation process. Indeed, the support of a system engineer will generate value to the business because of the implementation of innovative, solid and confidence systems in a market which is each time more exigent and competitive, also defining our processes, tools, and methodologies that we will allow us to achieve a better management and coordination between the members of the project team, so they can have the same visibility of the objectives and goals that require to be committed. Definitely all that was mentioned above is not an easy task, because they are not only implied the knowledge field, but also the development of soft and hard skills learned throughout our career, so they can be complemented with each knowledge acquired as the project management, analysis and information security, service agreement level (SLA), technological tools domain, together with a leadership style and the development of effective communication to resolve conflicts, our professional ethic and all that allow us to improve our teamwork and the performance of each collaborator towards the accomplishment of the goals of the organization.",Universidad de Lima,Dominio de la gestión de proyectos de TI,Ingeniero de Sistemas
"Caballero Ortiz, José Alberto","Llamas Fernandez, Juan Pablo",2022,"Ever since the stove was invented in the 19th century by James Sharp in England, there has always been a need to provide a continuous supply of fuel to keep it in use. Families in the best of scenarios can procure 02 gas cylinders, to guarantee the uninterrupted operation of their kitchen service; however, in most cases, families only have the option that it is finished and must be replaced, subject to the availability of time and stock of the distributor. On the other hand, it is known that gas balloons represent a danger, due to the
possible leaks that usually occur due to carelessness or poor maintenance installations, which can represent deaths from suffocation, poisoning from inhaling monoxide carbon, fires and explosions. Given the aforementioned problem, uninterrupted supply and danger of gas leaks, a solution has been conceptualized. The proposed device comprises sensors that are attached to the kitchen regulator, providing the level of the gas balloon and possible leaks, this information travels to the microcontroller for data processing and then it will be sent to servers in the cloud, this in order to be able to generate trend lines over time that allow predicting user consumption.

The topics used to develop the project were:

•Project Management taking into account restrictions in scope, time and budget.

• Information Management in order to design and manage the database.

•Systems Analysis and Design in order to get detailed conceptualization of the solution.

•Development and deployment of systems in order to understand the different modules should be develop and how to deploy them.

•Secure computing in order to develop security techniques and communication protocols.

As a result of the tests, the proposed hardware and software were validated as well as
opportunities were also evidenced due to the diversity of sensors and applications.",Universidad de Lima,Sistema de gestión del consumo en tiempo real en balones de gas licuado de petróleo en Lima,Ingeniero de Sistemas
"Cárdenas Garro, José Antonio","Roque Rojas, Edwin",2022,"The level of passenger demand for the Metropolitan service has increased and the planning called JICA, currently used, is not enough, causing the saturation of passengers in their 38 stations. According to experts and reports made by the Metropolitan Municipality of Lima and ProTransporte in 2018, claim that the maximum station capacity of 700,000 passengers was exceeded daily, which was planned, being twice as much as 2010 and suggesting updating demand planning. So, it was proposed to predict the passenger demand of station clusters using SARIMA from a spatio-temporal analysis using two data mining methods and the Box-Jenkins methodology to get the best possible model for cluster. The results of the spatio-temporal analysis showed similar behavior between stations when grouped into clusters with weekly seasonality. The models didn't make a correct prediction for the annual holidays, as they were interpreted as outlier´s values, so the demand that recorded these dates was replaced to make the models more accurate; finally getting good results with a RMSPE, MAPE and ¿ 2 between 6.37% - 8.13%, 4.19% - 5.93% y 0.91 - 0.98 respectively between the four models, below the ceiling for each forecast metric that was proposed as targets. Despite the problem, model predictions can be used to optimize the Metropolitan's resources in the distribution of its buses, adequately taking care of the demand that saturates its stations, not counting the annual holidays.",Universidad de Lima,"Predicción de la demanda de pasajeros a clústeres de estaciones del Metropolitano usando métodos de Data Mining, la metodología Box-Jenkins y Sarima",Ingeniero de sistemas
"Zurita Calderon, Hernando Andre","Ampuero Ampuero, Peter Justiniano",2022,"The great challenges that companies face is the search for better and new innovative
proposals of products and/or services, to satisfy the needs of their clients; therefore, they
develop strategies that allow them to be more productive and efficient, maximizing their
profitability. Mining is an important sector in the development of the country and is not exempt from these challenges. Its extractive activity is high risk and has complex processes and high professional expertise for both maintenance and business continuity. The project is focused on the large and medium mining segment for this first stage. During the development of mining operations, the activities identified as incidents, problems or conflicts resulting from any assessment or audit process are unwanted events that generate rework, delays and bottlenecks in the company's processes. These become opportunities for improvement and require research work with a multidisciplinary work team and the necessary resources to execute the project. The innovative proposal is
oriented to manage these research activities of these projects through a communication
channel in the cloud, where the company and the supplier can exchange information, for
the generation of solution proposals for these incidents. The minimum viable product
obtained contains the registration stage of mining companies and suppliers to the system,
incident submission by the mining company, registration of the supplier's solution proposals, evaluation of proposals, awarding of the winner and communication to suppliers on the status of the project.",Universidad de Lima,INNOVAMIN: Gestor de oportunidades de mejora en el sector minero,Ingeniero de Sistemas
"Cárdenas Garro, José Antonio","Nakashima Burmester, Julio Tomas",2022,"A systems engineer graduated from the University of Lima is prepared to provide solutions to the needs of organizations in an ethical, socially responsible and professional manner. He is constantly learning and updating about emerging information technologies to integrate them in the management of business processes, in the different solutions that he manages and implements. I started my professional development very early, even as a career student, performing roles that correspond to the Software Engineering training area. In this initial period of work experience, my main achievements were in the development of customized client-server software and in different business areas, depending on the origin of the requesting client. Years later I went on to perform roles related to the areas of training in Information Technology and Information Systems, becoming a manager in the systems area of the organization in which I currently work. I had the opportunity to lead and participate in many projects during the 15 years in which I assumed Systems Management. Among the main projects I was in charge of are the Extranet solutions for the commercial development of the company, installation and migration of CRMs and ERPs, development of the company's Datawarehouse, among others. In recent years I have developed extensive experience in the areas of training in Business Engineering and Information Systems, leading the Digital Transformation strategy of the company both internally and that of our partners, in implementations of business intelligence tools to support in decision making. In the last four years of my professional career, I led the implementation strategy and analysis development of Sell Out and Inventory in the company's distribution channel. This report will detail the most important achievements of each stage of my professional experience, identifying each of the capacities that a systems engineer must achieve in the associated roles.",Universidad de Lima,Informe de suficiencia profesional aplicada a la industria del sector eléctrico y gestión de la energía,Ingeniero de Sistemas
"Zevallos Luna Victoria, Guillermo","Torres Lopez, Dante Eduardo",2022,"In Metropolitan Lima there are 113,000 groceries, whose owners are small business
entrepreneurs. The sizes of these groceries, the location, the types and diversity of products they offer are very different, but what they all have in common is that they serve basic necessities in their area of influence, which is mainly the neighborhood. These groceries are different from supermarkets since the service is almost personalized, they do not manage large volumes of stocks, they sell cash, retail and are a traditional sales channel. It is important to highlight that these grocery owners have as their only source of income to survive the sales they make in their business.

The main challenges that owners have to solve are: delivery service, informality, little use of digital tools, use of means of payment, advertising, competition, the presence of
large supermarket chains and retail chains convenience. The COVID 19 situation has
modified the consumption habits of its customers, thus impacting the economy of its
business and its family income; for this reason, it has made them more creative and to
continue surviving they care more about the profitability of their business.

This work will focus on solving the problem of using digital tools to manage your business, improving the management of inventory information, sales and profitability. The proposal includes developing a solution that manages inventories, sales and profitability of the groceries in Metropolitan Lima.

As a result of our first minimum viable product we can highlight the ease of use of the application, that the owner can have the stock of his products available online and see the
sales of the day, the week, the month or the range that they want to define.",Universidad de Lima,Solución de gestión de bodegas en Lima Metropolitana,Ingeniero de Sistemas
"Kamiyama Murakami, Angélica","Santiago Silva, Caleb Misael",2022,"Garbage collection is a responsibility faced by all cities and, if not properly carried out, can generate greater costs or sanitary problems. Considering the sanitary situation due to the COVID-19 pandemic, it is necessary to take sanitary safety measures to prevent its spread. The challenge of the present work is to provide an efficient and effective solution that guarantees a garbage collection that optimizes the use of
resources and prioritizes the attention to garbage containers located in or near contagion risk zones. To this end, this research proposes the integration of a basic garbage monitoring system, consisting of a wireless sensor network, and a route planning system that implements the decomposition of the Vehicle Routing problem into the subproblems of clustering and sequencing of containers using the K-Means and Ant Colony algorithms. For the monitoring of garbage, a significant reduction in the measurement error of waste level in the containers was achieved compared to other authors. About route planning, adequate error ranges were obtained in the calculation of the optimal values of distance traveled and travel time indicators with respect to an exhaustive enumeration of routes.",Universidad de Lima,Route planning using wireless sensor network for garbage collection in COVID-19 pandemic,Ingeniero de sistemas
"Diez Quiñones Panduro, Percy","Menchola Tenorio, Renzo",2022,"At the beginning of 2020 the world pandemic time hit Peru, we had economic threats and
no a lot of business survived. The hospitality industry was affected with the lockdown and there were not any kind of trips to the domestic economy recovery. During the pandemic time r the hotel industry has changed and adapted. They changed their process to attend different economic sectors and legal regulations. These experiences had also served to discover travelers, their fears and requirements, personal care and health.

Hotels must be prepared for the new demands of customers, which implies adopting measures to ensure the health of guests and internal processes to ensure the least contact between people within the hotel, one of the most used and necessary processes within the value chain of hotels is the check in, by which the guest checks in to enter the lodging establishment and receive the key to his room. The proposal is a SaaS solution, adaptable
and configurable to different hotels, which will allow the guest to check in online in order
to offer security, speed and confidence in the check in process, aiming to increase their
valuation and loyalty to the hotel.

The solution allows the check-in process to be carried out in a web application suitable for use from fixed and portable computers, as well as from cell phones and digital tablets. The tests carried out showed positive results in more than 90% of the check-ins performed in the MVP presented.",Universidad de Lima,Optimización del proceso de check in en hoteles tres estrellas,Ingeniero de Sistemas
"Diez Quiñones Panduro, Percy","Sakuma Carbonel, Igor Hector Jaser",2021,"This report describes my professional career from the experience and goals achieved as an Information Technology professional, mainly as Chief Information Officer (CIO) of the Superintendency of Banking, Insurance and Private Pension Funds Administrators (SBS) of Peru. For this, it is necessary to highlight the profile of a Systems Engineer from the University of Lima, which is recognized by the correct balance between his/her technical and management skills. In this way, graduates have the possibility and the ability to start and develop a professional career taking advantage of our skills and strengths, in different roles offered by information technologies. In my case, I decided to specialize in business management aspects, for which I have presented in this report my experience in the formulation and execution of Digital Transformation projects in the SBS, as well as the perspective of Enterprise Architecture. As CIO and with the support of an excellent team, we have achieved the implementation of initiatives for the use of innovative technologies in the SBS, with the aim of enhancing the analysis capabilities and the decision-making process, thus complying with institutional mandates. In this way, I have highlighted in this report the main efforts made to strengthen the Supervision process, which is a core business process of the Superintendency. This has been and it is a continuous learning and training process, which seeks to develop skills and incorporate new tools not only to solve technological challenges, but also to adequately manage organizational change and available resources. In this sense, management must be governed by a line of conduct in accordance with the ethics of the profession and the public function, in order to fully represent a professional from the University of Lima.",Universidad de Lima,"Implementación de tecnologías innovadoras en la Superintendencia de Banca, Seguros y AFPS",Ingeniero de Sistemas
"Saravia Torres, Pedro Humberto","Rosario Palacios, Eduardo Carlo",2022,"Metropolitan Lima experiences constant vehicular congestion, investing inordinate time in moving the population to their destination, adding to this the mechanical failure of certain vehicles, causing chaos, stress and frustration in citizens. Drivers find it necessary to buy auto parts and spare parts, implying an additional effort to obtain them, since sometimes it is difficult to find the useful spare part for their vehicle, and there is a great diversity of prices that prevent knowing if they are buying the right spare part. or if the store has stock of the product. These stores sell conventionally, without an alternative 
space to the physical one, limiting their competitiveness. For this reason, the proposal of the Marketplace Mister Fix is made for the sale of vehicle parts and accessories, as a meeting point between suppliers and demanders of parts (B2C trade) managing to obtain the parts based on 3 pillars: Brand, price and location according to your need. It has tools that offer to improve the control of its stock, publish in an automated way and manage a ""proactive sales system"", knowing the life time of the product sold, managing to contact it before the spare part is at the end of its useful life. In addition, customers will be able to search for the products they need guided by variables that will help with the search of the platform's catalog, it has an electronic payment system and delivery according to the 
specified location. The aim is to minimize implementation costs in a platform for the sale of spare parts and auto parts, and according to sales forecasts, dynamic growth is expected according to demand as of the second year, being a great attraction for future investors. Finally, as results, it was obtained that the potential clients belong to the district of Miraflores (32%) and La Victoria (25%), from 30 to 40 years old (58%)",Universidad de Lima,Marketplace colaborativo de venta de repuestos y accesorios para vehículos - Mister Fix,Ingeniero de Sistemas
"Aliaga Vílchez, Tobías","Lescano Uriol, Ubaldo Martín",2022,"A system engineer graduated from the University of Lima must face different challenges from the beginning of his professional life. I began my professional development around operating systems and server maintenance that were focused on supporting all internet traffic in Peru in the telecommunications sector. I have gone through many areas and roles such as pre-sale technician, post-sale, customer support, creation of new products, advice in the creation of new products among many and while I gained experience and continued to grow as a professional, I improved my soft skills as I work with teams. multidisciplinary, leadership and creation of high impact teams, so I can say that 
throughout my more than 20 years of experience I consider that my main achievements were, first at the beginning of my career, having developed and implemented servers that helped the growth of internet traffic at costs and times well below the standards of the time; Later, when my career was already mature, I consider as achievements of being able to deal with problems and inconveniences, which always arise when one manages projects, learning from mistakes and having the attitude of moving forward and finally having dared to entrepreneurship and experiment with new technologies. The journey has not been easy, but I have learned that the experience I have achieved is due to all 
the learning opportunities I have acquired over the years, whether they are good or bad, since I believe that you also learn from falls. An additional achievement is having discovered my passion for sharing knowledge and experiences, which is why, in addition to being a university professor, I have a website with my name and a podcast where I publish experiences, best practices, and talk with other professionals associated with technology.",Universidad de Lima,Integración del perfil de tecnologías de la información con emprendimiento y UX,Ingeniero de Sistemas
"Pachas Chura, Carlos Eduardo","Wu Wong, Alfredo Luis",2022,"This work was carried out for a Colombian company founded in 1956 dedicated to the production, marketing of consumables, welding and cutting equipment, as well as the sale of services. In 2011 it was acquired by a Peruvian business group dedicated to the same sector, becoming a subsidiary, thus obtaining the group a greater regional presence. This is how they turn out to be attractive to investors and in 2013 they were incorporated into an
American corporate group with a global presence.
As of 2014, Colombia began with the process of mandatory adoption of IFRS standards, so at first the company had to adapt to compliance with the law and then
implement them within the SAP. The project was carried out from Peru with internal IT personnel from the Peruvian related company and a consulting firm specialized in SAP who provided the technical resources of ABAP and Basis. The Accelerated SAP (ASAP) methodology was used, which divides the activities and tasks into five phases: Initial Preparation, Process Map, Realization, Final Preparation and Startup & post-production support. The five phases had a duration of 82 days and a budget of $. 42,500 US dollars considering the value of the consultancy and the internal resources. My participation in the project was as a Functional Consultant, responsible for the
implementation of IFRS in the FI and CO modules, according to the scope defined in the project. Finally, the result was a system that allows, through best practices, the structuring of information in accordance with IFRS and Local standards for proper management and decision-making in a timely manner, with a reduction in manual labor and possible errors, ensuring the integrity and traceability of the data.",Universidad de Lima,Implementación de IFRS en SAP ERP,Ingeniero de Sistemas
"Lewis Fuentes, Winston","Chavez Rivas, Luis Fernando",2022,"This Applied Professional Sufficiency Report consists of describing and explaining the professional experience
developed over 15 years, after graduating from the Systems Engineering degree at the University of Lima. My
professional career has been analyzed from 4 important dimensions: technical capacity, management capacity,
continuous learning and professional ethics; which has been focused on projects for the implementation and
stabilization of enterprise resource planning solutions called ERP for its acronym in English, in particular it has been focused on implementations of Human Resources processes of the SAP ERP solution in companies belonging to various countries. such as: Argentina, Brazil, Chile, Panama, Paraguay, Peru and the United States. Which has allowed me to develop multiple roles and participate in teams made up of specialists of different nationalities that allowed me to perform various roles, such as project manager and teaching at the SAP HR Chile academy as a functional specialist of the SAP ERP human resources module. All these experiences have allowed me to consolidate myself in the Chilean labor market. Regarding my capacity for continuous learning, it has been constant and they have always been focused on
courses and certifications related to the work environment in which I work; Among them, the most outstanding are
SAP Human Resources Management & Administration (2008), Success Factors - Core Training Program – Goal and Performance (2014), and SCRUM Master Certified (2020) among others. All these skills have allowed me to
consolidate a satisfactory stage in the labor market as a Systems Engineer, positively impacting my professional and personal development, supported by the application of principles, ethical standards and fulfillment of responsibilities that has allowed me to gain the trust of the companies where I have worked.",Universidad de Lima,Desarrollo profesional hacia el dominio de los sistemas de información orientado a recursos humanos,Ingeniero de Sistemas
"Linares Barbero, Manuela","Vega Gallegos, Carlos Alejandro",2022,"In our country, many companies have arisen due to this pandemic situation or 
due to labor needs, these enterprises have been developed in different areas and sizes, 
depending on their economic activity. In Peru, according to data from the website of the 
Ministry of Production as of 2019; the business segment represents 99.6% of the total 
of formal companies in the Peruvian economy. Being 96.04% are micro-SMEs; of 
which 87.9% of them are dedicated to the activity of commerce and services, and the 
rest 12.1% to the productive activity (Ministry of production, 2019). Due to the growth 
of the business sector and technological changes, we have interviewed micro entrepreneurs in the service sector, identifying a common problem, they do not have a 
systematic tool that allows them to have financial information in line for decision making, currently the existing solutions do not they meet the expectations they need and 
require.
As a solution, a Financial Planning System will be developed for formal micro-SMEs in 
the Service Sector focused on Cash Flow. This project seeks through the use of design 
thinking to identify the main needs, model the solution and implement it through the 
scrum framework. Using for our Minimum Viable Product (MVP) a scalable, secure, 
reliable and high availability solution using the Internet as a means of access. The 
architecture shows three layers: Client, API Manager and Transactional. The language 
used for web development is Angular, and as a database we will use MySQL, MariaDB 
10.6",Universidad de Lima,Sistema de planificación financiera para micropymes formales del sector servicios,Ingeniero de Sistemas
"Gutiérrez Cárdenas, Juan Manuel","Espinoza Diaz, Edwin Antony",2021,"Reading comprehension is a fundamental ability in a child that must be developed and measured properly,
which can cause problems not only in childhood but also in other stages of maturity. For this reason, a system capable
of measuring said ability is proposed using questions to obtain a grade that reflects the level of performance in reading
comprehension of the child, this is validated by means of a comparison with the grade obtained in the child's PISA
evaluation. The questions that make up the questionnaire are formulated using natural language processing and
articulation rules. In addition, the answers to the mentioned questions are collected from the children by voice
processing, then transcribed to text in order to compare the answers collected by the system from the same text. The
study was developed in 2 institutions with a sample of 90 students between 10 and 12 years of age. First, the speechto-
text technique used to transcribe the students' voice responses adequately conveyed the response sentences 95% of
the time. Second, questions were created using natural language processing and articulation rules to assess reading
comprehension, obtaining as a result that more than 50% of the questionnaires applied to children obtained questions
with correct structures. Thirdly, it was found that the questions that make up a questionnaire were logically structured
in more than 90%. Fourth, the extraction of answers to self-generated questions was achieved, since there was a 70%
similarity. Finally, the reading ability of the students was correctly measured in a 90% correspondence to the real grade
of the total number of students.",Universidad de Lima,Aplicación basada en tecnología NLP y gamificación para medir la comprensión lectora en niños de cuarto de primaria,Ingeniero de sistemas
"Ayma Quirita, Víctor Hugo","Castañeda Haro, Carlos Enrique",2020,"La suplantación vehicular es un problema basado en la adulteración de las matrículas vehiculares, las cuales han sido campo de estudio de la visión computacional, debido al alto impacto que supone el reconocimiento de placas vehiculares en temas de transporte inteligente, seguridad vial, etc. En esta investigación se presenta la implementación de un proceso de OCR para el reconocimiento de las matrículas vehiculares. Para esto, se ha
establecido una base de datos con imágenes de placas vehiculares rectificadas para la realización de pruebas. El proceso consiste en un filtrado de ruido inicial a las imágenes, para posteriormente segmentar la región de la placa que contiene los caracteres, realizar un preprocesamiento a dicha imagen y aislar o segmentar a cada uno de los
caracteres para aplicar el OCR de manera individual a cada uno de ellos. Los resultados nos muestran una precisión del 89.33% en el reconocimiento de matrículas vehiculares lo cual se encuentra acorde a investigaciones similares y
una precisión de 96.11% en la identificación de cada carácter individualmente.",Universidad de Lima,Recuperación de información de placas vehiculares en base al método optical character recognition (OCR),Bachiller en Ingeniería de Sistemas
"Gutiérrez Cárdenas, Juan Manuel","Ayala Galvan, Diana del Milagro",2019,"Con la finalidad de encontrar las mejores técnicas para el análisis de señales electromiográficas (EMG) a través de
medios computacionales para su uso en el control de prótesis, se realizaron dos clasificadores de señales. En este
artículo se detallará la metodología empleada tanto en la obtención de las señales, como en la implementación del
clasificador.",Universidad de Lima,Análisis de patrones en señales musculares de extremidad superior mediante técnicas de Machine Learning,Bachiller en Ingeniería de Sistemas
"Rodríguez Rodríguez, Nadia Katherine","Chávez Martínez, Renato",2019,"Determinar si un perro tiene la predisposición de desarrollar cáncer a la piel es uno de los desafíos tanto de los veterinarios como de los dueños de las mascotas. Los modelos de regresión logística y redes neuronales han sido ampliamente utilizados para realizar predicciones en el ámbito de la medicina humana, el presente estudio aborda la comparación de éstas dos técnicas para la predicción de cáncer de piel en perros. Las características que se han analizado son la edad, el sexo, raza, exposición al sol, albinismo y la aparición de dermatitis. Dichas características fueron validadas por el método de coeficiente de correlación y el análisis de componente principal. Los resultados obtenidos demostraron que la red neuronal backpropagation con validación cruzada supera al modelo de regresión logística. El valor de predicción generado por la red neuronal fue de 89.6% mientras que la regresión logística obtuvo un 84%.",Universidad de Lima,Comparación entre regresión logística y redes neuronales para predecir cáncer de piel en perros,Bachiller en Ingeniería de Sistemas
